field_name,short_description,long_description
Job_byTran_rel_MAG,"Relative access to jobs by transit vs MAG","Zone Job_byTran divided by the MAG household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_MAG,"Relative access to jobs by bike vs MAG","Zone Job_byBike divided by the MAG household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_MAG,"Relative access to jobs by walk vs MAG","Zone Job_byWalk divided by the MAG household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_MAG,"Relative access to households by auto vs MAG","Zone HH_byAuto divided by the MAG job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_MAG,"Relative access to households by transit vs MAG","Zone HH_byTran divided by the MAG job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_MAG,"Relative access to households by bike vs MAG","Zone HH_byBike divided by the MAG job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_MAG,"Relative access to households by walk vs MAG","Zone HH_byWalk divided by the MAG job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_WFRC,"Relative access to jobs by auto vs WFRC","Zone Job_byAuto divided by the WFRC household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_WFRC,"Relative access to jobs by transit vs WFRC","Zone Job_byTran divided by the WFRC household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_WFRC,"Relative access to jobs by bike vs WFRC","Zone Job_byBike divided by the WFRC household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_WFRC,"Relative access to jobs by walk vs WFRC","Zone Job_byWalk divided by the WFRC household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_WFRC,"Relative access to households by auto vs WFRC","Zone HH_byAuto divided by the WFRC job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_WFRC,"Relative access to households by transit vs WFRC","Zone HH_byTran divided by the WFRC job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_WFRC,"Relative access to households by bike vs WFRC","Zone HH_byBike divided by the WFRC job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_WFRC,"Relative access to households by walk vs WFRC","Zone HH_byWalk divided by the WFRC job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_BOX_ELDER,"Relative access to jobs by auto vs BOX_ELDER","Zone Job_byAuto divided by the BOX_ELDER household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_BOX_ELDER,"Relative access to jobs by transit vs BOX_ELDER","Zone Job_byTran divided by the BOX_ELDER household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_BOX_ELDER,"Relative access to jobs by bike vs BOX_ELDER","Zone Job_byBike divided by the BOX_ELDER household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_BOX_ELDER,"Relative access to jobs by walk vs BOX_ELDER","Zone Job_byWalk divided by the BOX_ELDER household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_BOX_ELDER,"Relative access to households by auto vs BOX_ELDER","Zone HH_byAuto divided by the BOX_ELDER job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_BOX_ELDER,"Relative access to households by transit vs BOX_ELDER","Zone HH_byTran divided by the BOX_ELDER job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_BOX_ELDER,"Relative access to households by bike vs BOX_ELDER","Zone HH_byBike divided by the BOX_ELDER job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_BOX_ELDER,"Relative access to households by walk vs BOX_ELDER","Zone HH_byWalk divided by the BOX_ELDER job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_DAVIS,"Relative access to jobs by auto vs DAVIS","Zone Job_byAuto divided by the DAVIS household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_DAVIS,"Relative access to jobs by transit vs DAVIS","Zone Job_byTran divided by the DAVIS household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_DAVIS,"Relative access to jobs by bike vs DAVIS","Zone Job_byBike divided by the DAVIS household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_DAVIS,"Relative access to jobs by walk vs DAVIS","Zone Job_byWalk divided by the DAVIS household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_DAVIS,"Relative access to households by auto vs DAVIS","Zone HH_byAuto divided by the DAVIS job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_DAVIS,"Relative access to households by transit vs DAVIS","Zone HH_byTran divided by the DAVIS job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_DAVIS,"Relative access to households by bike vs DAVIS","Zone HH_byBike divided by the DAVIS job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_DAVIS,"Relative access to households by walk vs DAVIS","Zone HH_byWalk divided by the DAVIS job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_SALT_LAKE,"Relative access to jobs by auto vs SALT_LAKE","Zone Job_byAuto divided by the SALT_LAKE household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_SALT_LAKE,"Relative access to jobs by transit vs SALT_LAKE","Zone Job_byTran divided by the SALT_LAKE household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_SALT_LAKE,"Relative access to jobs by bike vs SALT_LAKE","Zone Job_byBike divided by the SALT_LAKE household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_SALT_LAKE,"Relative access to jobs by walk vs SALT_LAKE","Zone Job_byWalk divided by the SALT_LAKE household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_SALT_LAKE,"Relative access to households by auto vs SALT_LAKE","Zone HH_byAuto divided by the SALT_LAKE job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_SALT_LAKE,"Relative access to households by transit vs SALT_LAKE","Zone HH_byTran divided by the SALT_LAKE job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_SALT_LAKE,"Relative access to households by bike vs SALT_LAKE","Zone HH_byBike divided by the SALT_LAKE job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_SALT_LAKE,"Relative access to households by walk vs SALT_LAKE","Zone HH_byWalk divided by the SALT_LAKE job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_UTAH,"Relative access to jobs by auto vs UTAH","Zone Job_byAuto divided by the UTAH household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_UTAH,"Relative access to jobs by transit vs UTAH","Zone Job_byTran divided by the UTAH household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_UTAH,"Relative access to jobs by bike vs UTAH","Zone Job_byBike divided by the UTAH household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_UTAH,"Relative access to jobs by walk vs UTAH","Zone Job_byWalk divided by the UTAH household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_UTAH,"Relative access to households by auto vs UTAH","Zone HH_byAuto divided by the UTAH job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_UTAH,"Relative access to households by transit vs UTAH","Zone HH_byTran divided by the UTAH job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_UTAH,"Relative access to households by bike vs UTAH","Zone HH_byBike divided by the UTAH job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_UTAH,"Relative access to households by walk vs UTAH","Zone HH_byWalk divided by the UTAH job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_WEBER,"Relative access to jobs by auto vs WEBER","Zone Job_byAuto divided by the WEBER household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_WEBER,"Relative access to jobs by transit vs WEBER","Zone Job_byTran divided by the WEBER household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_WEBER,"Relative access to jobs by bike vs WEBER","Zone Job_byBike divided by the WEBER household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_WEBER,"Relative access to jobs by walk vs WEBER","Zone Job_byWalk divided by the WEBER household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_WEBER,"Relative access to households by auto vs WEBER","Zone HH_byAuto divided by the WEBER job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_WEBER,"Relative access to households by transit vs WEBER","Zone HH_byTran divided by the WEBER job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_WEBER,"Relative access to households by bike vs WEBER","Zone HH_byBike divided by the WEBER job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_WEBER,"Relative access to households by walk vs WEBER","Zone HH_byWalk divided by the WEBER job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Box_Elder_County,"Relative access to jobs by auto vs Box Elder County","Zone Job_byAuto divided by the Box Elder County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Box_Elder_County,"Relative access to jobs by transit vs Box Elder County","Zone Job_byTran divided by the Box Elder County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Box_Elder_County,"Relative access to jobs by bike vs Box Elder County","Zone Job_byBike divided by the Box Elder County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Box_Elder_County,"Relative access to jobs by walk vs Box Elder County","Zone Job_byWalk divided by the Box Elder County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Box_Elder_County,"Relative access to households by auto vs Box Elder County","Zone HH_byAuto divided by the Box Elder County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Box_Elder_County,"Relative access to households by transit vs Box Elder County","Zone HH_byTran divided by the Box Elder County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Box_Elder_County,"Relative access to households by bike vs Box Elder County","Zone HH_byBike divided by the Box Elder County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Box_Elder_County,"Relative access to households by walk vs Box Elder County","Zone HH_byWalk divided by the Box Elder County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Central_Utah_County,"Relative access to jobs by auto vs Central Utah County","Zone Job_byAuto divided by the Central Utah County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Central_Utah_County,"Relative access to jobs by transit vs Central Utah County","Zone Job_byTran divided by the Central Utah County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Central_Utah_County,"Relative access to jobs by bike vs Central Utah County","Zone Job_byBike divided by the Central Utah County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Central_Utah_County,"Relative access to jobs by walk vs Central Utah County","Zone Job_byWalk divided by the Central Utah County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Central_Utah_County,"Relative access to households by auto vs Central Utah County","Zone HH_byAuto divided by the Central Utah County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Central_Utah_County,"Relative access to households by transit vs Central Utah County","Zone HH_byTran divided by the Central Utah County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Central_Utah_County,"Relative access to households by bike vs Central Utah County","Zone HH_byBike divided by the Central Utah County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Central_Utah_County,"Relative access to households by walk vs Central Utah County","Zone HH_byWalk divided by the Central Utah County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_North_Utah_County,"Relative access to jobs by auto vs North Utah County","Zone Job_byAuto divided by the North Utah County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_North_Utah_County,"Relative access to jobs by transit vs North Utah County","Zone Job_byTran divided by the North Utah County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_North_Utah_County,"Relative access to jobs by bike vs North Utah County","Zone Job_byBike divided by the North Utah County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_North_Utah_County,"Relative access to jobs by walk vs North Utah County","Zone Job_byWalk divided by the North Utah County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_North_Utah_County,"Relative access to households by auto vs North Utah County","Zone HH_byAuto divided by the North Utah County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_North_Utah_County,"Relative access to households by transit vs North Utah County","Zone HH_byTran divided by the North Utah County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_North_Utah_County,"Relative access to households by bike vs North Utah County","Zone HH_byBike divided by the North Utah County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_North_Utah_County,"Relative access to households by walk vs North Utah County","Zone HH_byWalk divided by the North Utah County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Northern_Davis_County,"Relative access to jobs by auto vs Northern Davis County","Zone Job_byAuto divided by the Northern Davis County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Northern_Davis_County,"Relative access to jobs by transit vs Northern Davis County","Zone Job_byTran divided by the Northern Davis County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Northern_Davis_County,"Relative access to jobs by bike vs Northern Davis County","Zone Job_byBike divided by the Northern Davis County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Northern_Davis_County,"Relative access to jobs by walk vs Northern Davis County","Zone Job_byWalk divided by the Northern Davis County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Northern_Davis_County,"Relative access to households by auto vs Northern Davis County","Zone HH_byAuto divided by the Northern Davis County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Northern_Davis_County,"Relative access to households by transit vs Northern Davis County","Zone HH_byTran divided by the Northern Davis County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
